ID,RAC1P,RAC2P,RAC3P,PERNP,SCHG,SCHL
002827,1,1,1,15000,,22
002828,1,1,1,,3,4
002829,1,1,1,,,1
002830,1,1,1,2000,,22
002831,1,1,1,190000,,22
002832,1,1,1,0,16,21
002833,1,1,1,3500,14,16
002834,1,1,1,,11,11
002835,1,1,1,,9,9
002836,1,1,1,,5,5
002837,1,1,1,,3,3
002838,8,67,15,0,,13
002839,8,67,15,26000,,12
002840,8,67,15,,2,2
002841,8,67,15,,,
002842,8,67,15,,,
002843,6,46,10,0,,16
002844,6,46,10,16000,,16
002845,6,46,10,0,,16
002846,6,46,10,0,,16
002847,2,2,2,48000,,18
002848,2,2,2,0,,17
002849,1,1,1,23000,,15
002850,1,1,1,21000,,18
002851,1,1,1,30000,,23
002852,1,1,1,42000,,23
002853,1,1,1,35000,,21
002854,1,1,1,80000,,23
002855,1,1,1,250000,,23
002856,1,1,1,112000,,22
002857,1,1,1,0,,21
002858,1,1,1,0,13,13
002859,1,1,1,,9,9
002860,1,1,1,110000,,21
002861,1,1,1,0,,21
002862,1,1,1,,,4
002863,1,1,1,,,1
002864,1,1,1,,,1
002865,1,1,1,,,
002866,2,2,2,0,,19
002867,2,2,2,0,,16
002868,1,1,1,40700,,19
002869,1,1,1,0,13,13
002870,1,1,1,0,,21
002871,1,1,1,200000,,21
002872,3,20,3,32000,,21
002873,1,1,1,2100,,22
002874,2,2,2,4900,,21
002875,1,1,1,23000,,20
002876,1,1,1,21000,,19
002877,1,1,1,34500,,22
002878,1,1,1,950,,21
002879,1,1,1,,2,3
002880,6,57,9,17000,,16
002881,6,57,9,0,15,19
002882,1,1,1,0,,23
002883,1,1,1,400,,16
002884,1,1,1,0,,18
002885,1,1,1,0,,15
002886,1,1,1,40000,,21
002887,2,2,2,80000,16,23
002888,9,68,75,,1,1
002889,1,1,1,29000,,16
002890,1,1,1,0,,20
002891,1,1,1,0,,20
002892,1,1,1,0,,19
002893,1,1,1,1100,,20
002894,2,2,2,15000,,18
002895,1,1,1,48000,,20
002896,1,1,1,0,,9
002897,1,1,1,20000,,21
002898,6,48,7,99000,,21
002899,1,1,1,0,,18
002900,1,1,1,42000,,19
002901,1,1,1,18000,,19
002902,1,1,1,0,,13
002903,1,1,1,90000,,20
002904,1,1,1,3600,15,20
002905,1,1,1,30000,,16
002906,1,1,1,70000,,22
002907,1,1,1,0,,23
002908,1,1,1,0,,20
002909,1,1,1,0,,21
002910,9,68,17,95000,,22
002911,1,1,1,50000,,19
002912,1,1,1,,,
002913,1,1,1,100000,,19
002914,1,1,1,100000,,19
002915,1,1,1,113000,,24
002916,1,1,1,0,,22
002917,9,68,29,20000,,1
002918,9,68,29,0,,17
002919,9,68,29,0,,1
002920,1,1,1,0,,14
002921,8,67,15,9200,,12
002922,1,1,1,15000,,19
002923,1,1,1,,11,11
002924,1,1,1,,8,8
002925,1,1,1,15000,,18
002926,1,1,1,50000,,15
002927,1,1,1,0,,14
002928,1,1,1,56000,,22
002929,1,1,1,67000,,22
002930,1,1,1,,1,2
002931,1,1,1,,,
002932,1,1,1,10000,,19
002933,1,1,1,20000,,19
002934,1,1,1,467000,,21
002935,1,1,1,4500,14,14
002936,1,1,1,0,,14
002937,8,67,15,24400,,16
002938,8,67,15,35000,,9
002939,8,67,15,350,14,14
002940,8,67,15,,8,8
002941,8,67,15,,3,4
002942,1,1,1,75000,,22
002943,1,1,1,83000,,19
002944,1,1,1,2700,13,13
002945,1,1,1,60000,,19
002946,1,1,1,45000,,20
002947,1,1,1,,,
002948,1,1,1,,,
002949,1,1,1,0,,16
002950,1,1,1,0,,11
002951,1,1,1,30000,,21
002952,1,1,1,17000,,16
002953,1,1,1,0,,13
002954,1,1,1,40000,,20
002955,1,1,1,0,,21
002956,1,1,1,19000,,19
002957,1,1,1,3000,,18
002958,1,1,1,23000,,16
002959,1,1,1,0,,18
002960,1,1,1,9000,,20
002961,1,1,1,151000,,22
002962,1,1,1,52000,,18
002963,1,1,1,66000,,19
002964,1,1,1,90000,,21
002965,9,68,29,0,,12
002966,1,1,1,65000,,16
002967,1,1,1,0,,16
002968,1,1,1,65000,,22
002969,1,1,1,2400,14,14
002970,6,59,76,0,15,19
002971,1,1,1,18000,,16
002972,1,1,1,0,,21
002973,1,1,1,130000,,22
002974,1,1,1,,,1
002975,1,1,1,,,1
002976,1,1,1,,,
002977,1,1,1,50000,15,19
002978,6,38,4,120000,,22
002979,6,38,4,73000,,22
002980,1,1,1,0,,20
002981,1,1,1,23500,16,21
002982,1,1,1,4500,,21
002983,1,1,1,,1,2
002984,1,1,1,,1,1
002985,1,1,1,40000,,19
002986,9,68,20,10000,,19
002987,1,1,1,2500,,21
002988,1,1,1,3000,,22
002989,1,1,1,26400,,19
002990,1,1,1,48000,,19
002991,1,1,1,28000,,20
002992,1,1,1,70000,,22
002993,1,1,1,40000,,20
002994,1,1,1,55000,,21
002995,1,1,1,36000,,16
002996,1,1,1,62000,,22
002997,6,48,7,85000,,19
002998,1,1,1,0,,16
002999,1,1,1,0,,20
003000,1,1,1,0,15,18
003001,1,1,1,,8,9
003002,1,1,1,0,,17
003003,1,1,1,10000,,21
003004,1,1,1,467000,,21
003005,1,1,1,,12,12
003006,1,1,1,,9,9
003007,1,1,1,0,,19
003008,1,1,1,60000,,16
003009,1,1,1,,2,1
003010,1,1,1,,,2
003011,1,1,1,,,
003012,1,1,1,0,,16
003013,1,1,1,30000,,17
003014,7,60,11,42000,,19
003015,1,1,1,76000,,21
003016,1,1,1,133000,,21
003017,1,1,1,0,,13
003018,1,1,1,65000,,21
003019,9,68,86,130500,,18
003020,9,68,86,,7,8
003021,9,68,86,,4,5
003022,9,68,86,9600,,16
003023,1,1,1,0,,16
003024,1,1,1,0,,16
003025,9,68,29,23000,,18
003026,9,68,29,0,15,16
003027,9,68,80,,11,11
003028,9,68,29,,,1
003029,9,68,29,0,,9
003030,9,68,29,0,,16
003031,1,1,1,0,,16
003032,1,1,1,0,,19
003033,2,2,2,65000,,18
003034,2,2,2,13000,,19
003035,1,1,1,0,,16
003036,1,1,1,0,,18
003037,1,1,1,86000,,21
003038,1,1,1,45000,,21
003039,1,1,1,0,,17
003040,1,1,1,27000,,19
003041,8,67,15,2100,,19
003042,1,1,1,0,,18
003043,1,1,1,70000,,18
003044,1,1,1,,4,4
003045,1,1,1,50000,,21
003046,1,1,1,35000,,21
003047,1,1,1,70000,,21
003048,1,1,1,0,,19
003049,1,1,1,0,,16
003050,1,1,1,26000,,18
003051,1,1,1,25000,,18
003052,2,2,2,0,,18
003053,1,1,1,39000,,20
003054,1,1,1,75240,,19
003055,1,1,1,5000,15,19
003056,1,1,1,48000,,22
003057,1,1,1,0,,17
003058,1,1,1,0,,21
003059,1,1,1,0,,19
003060,1,1,1,150000,,24
003061,1,1,1,1000,,22
003062,1,1,1,0,,22
003063,1,1,1,,4,4
003064,6,43,5,300,15,21
003065,6,43,5,0,15,21
003066,6,43,5,0,15,21
003067,1,1,1,0,,16
003068,1,1,1,0,,19
003069,1,1,1,600,,20
003070,1,1,1,36000,16,22
003071,1,1,1,200,12,12
003072,1,1,1,,10,10
003073,1,1,1,63000,,21
003074,1,1,1,0,,20
003075,1,1,1,,,
003076,1,1,1,,,
003077,2,2,2,0,,18
003078,2,2,2,0,,17
003079,2,2,2,26000,,17
003080,1,1,1,4800,15,16
003081,1,1,1,75000,,22
003082,1,1,1,80000,,21
003083,1,1,1,60,13,13
003084,1,1,1,47000,,20
003085,1,1,1,0,,20
003086,1,1,1,,,1
003087,1,1,1,,,
003088,1,1,1,2500,,14
003089,1,1,1,0,,21
003090,1,1,1,85000,,21
003091,9,68,20,70000,,22
003092,8,67,15,56000,,16
003093,8,67,15,21000,,16
003094,8,67,15,,8,8
003095,8,67,15,,,
003096,1,1,1,37000,,20
003097,1,1,1,0,,16
003098,1,1,1,0,,16
003099,9,68,16,,10,10
003100,1,1,1,150000,,20
003101,1,1,1,18000,,21
003102,1,1,1,2000,15,19
003103,1,1,1,,11,12
003104,1,1,1,,10,11
003105,1,1,1,0,,21
003106,1,1,1,0,,19
003107,1,1,1,0,,16
003108,1,1,1,0,,17
003109,1,1,1,0,,1
003110,1,1,1,1500,,14
003111,1,1,1,30000,,21
003112,1,1,1,55000,,24
003113,1,1,1,8500,,21
003114,1,1,1,59000,15,20
003115,9,68,21,65000,,20
003116,9,68,21,,11,11
003117,9,68,21,,2,2
003118,1,1,1,0,,16
003119,5,37,3,6400,,19
003120,1,1,1,0,,20
003121,1,1,1,61000,,21
003122,1,1,1,60000,,19
003123,1,1,1,,,1
003124,6,43,5,0,15,16
003125,9,68,21,40000,,16
003126,1,1,1,19000,,18
003127,1,1,1,0,,20
003128,1,1,1,0,,18
003129,1,1,1,,7,7
003130,1,1,1,0,,17
003131,1,1,1,0,,16
003132,6,38,4,48000,,16
003133,6,38,4,48000,,16
003134,6,38,4,7600,,21
003135,6,38,4,0,,1
003136,1,1,1,40000,,19
003137,1,1,1,0,,14
003138,1,1,1,0,,14
003139,1,1,1,35000,,18
003140,1,1,1,50000,,20
003141,1,1,1,0,,21
003142,1,1,1,0,,22
003143,1,1,1,0,,22
003144,1,1,1,0,,21
003145,1,1,1,3000,15,19
003146,1,1,1,2800,,18
003147,1,1,1,31000,,16
003148,1,1,1,62000,,16
003149,6,38,4,20000,,21
003150,6,38,4,4000,15,19
003151,1,1,1,16000,,17
003152,9,68,16,,6,6
003153,1,1,1,0,,18
003154,1,1,1,60000,,20
003155,1,1,1,13000,,21
003156,1,1,1,,6,6
003157,1,1,1,,4,4
003158,1,1,1,,2,2
003159,1,1,1,,,1
003160,1,1,1,0,,16
003161,1,1,1,0,,20
003162,1,1,1,0,,16
003163,9,68,17,38000,,21
003164,1,1,1,38000,,21
003165,9,68,17,200,13,14
003166,9,68,60,,9,10
003167,1,1,1,0,,16
003168,1,1,1,9600,,16
003169,1,1,1,,9,10
003170,1,1,1,,9,10
003171,1,1,1,,9,10
003172,1,1,1,50000,,16
003173,1,1,1,0,,16
003174,1,1,1,0,,21
003175,1,1,1,0,,19
003176,1,1,1,29900,,16
003177,1,1,1,20000,15,20
003178,1,1,1,50000,15,20
003179,1,1,1,20000,,16
003180,1,1,1,33600,,19
003181,1,1,1,1700,,19
003182,1,1,1,0,,21
003183,1,1,1,0,,18
003184,1,1,1,0,,20
003185,1,1,1,1900,,21
003186,1,1,1,100000,,24
003187,1,1,1,129000,,24
003188,1,1,1,,11,12
003189,6,43,5,,9,10
003190,1,1,1,42000,,19
003191,1,1,1,75000,,22
003192,1,1,1,,3,3
003193,1,1,1,,1,1
003194,1,1,1,65000,,19
003195,6,49,8,76000,,21
003196,6,49,8,0,,21
003197,6,49,8,0,14,14
003198,6,49,8,,11,11
003199,6,49,8,,2,2
003200,3,28,3,0,,14
003201,1,1,1,75000,,14
003202,3,28,3,,9,10
003203,1,1,1,11000,,20
003204,1,1,1,180000,,20
003205,9,68,24,,6,7
003206,6,49,8,140000,,21
003207,6,49,8,80000,,24
003208,1,1,1,0,,16
003209,1,1,1,0,,21
003210,1,1,1,0,,18
003211,1,1,1,0,,22
003212,1,1,1,0,,21
003213,8,67,15,5000,,14
003214,8,67,15,3500,,10
003215,8,67,15,,7,8
003216,8,67,15,,6,7
003217,8,67,15,,2,3
003218,1,1,1,40000,,20
003219,1,1,1,78000,,18
003220,1,1,1,0,,17
003221,1,1,1,30000,,21
003222,1,1,1,,,
003223,1,1,1,28000,,22
003224,1,1,1,48000,,21
003225,1,1,1,580,15,19
003226,1,1,1,45000,,21
003227,1,1,1,73000,,20
003228,9,68,67,36000,,20
003229,9,68,67,17500,15,20
003230,1,1,1,13000,,16
003231,1,1,1,1400,,18
003232,1,1,1,41600,,19
003233,1,1,1,14000,,14
003234,6,43,5,100000,,21
003235,6,57,9,0,,21
003236,6,43,5,,5,5
003237,6,43,5,,2,2
003238,2,2,2,0,,19
003239,1,1,1,0,,16
003240,1,1,1,0,,21
003241,1,1,1,0,,24
003242,1,1,1,27000,,16
003243,1,1,1,59000,,20
003244,1,1,1,,,
003245,1,1,1,0,,16
003246,1,1,1,0,,20
003247,1,1,1,0,,21
003248,1,1,1,0,,16
003249,1,1,1,200000,,21
003250,1,1,1,40000,,21
003251,1,1,1,200,,20
003252,1,1,1,10000,,21
003253,1,1,1,77000,,21
003254,1,1,1,,5,5
003255,1,1,1,,3,3
003256,1,1,1,,1,2
003257,1,1,1,,,
003258,9,68,16,30700,,17
003259,9,68,16,,12,13
003260,1,1,1,43000,,19
003261,1,1,1,59000,,22
003262,1,1,1,11000,15,19
003263,1,1,1,,1,1
003264,1,1,1,0,,16
003265,1,1,1,0,,12
003266,1,1,1,60000,,20
003267,1,1,1,0,,13
003268,8,67,15,16200,15,18
003269,2,2,2,15000,,14
003270,9,68,38,,9,9
003271,9,68,38,,7,7
003272,1,1,1,40000,,18
003273,1,1,1,36000,,20
003274,1,1,1,,6,7
003275,1,1,1,,5,6
003276,1,1,1,,2,3
003277,1,1,1,,,
003278,1,1,1,74000,,22
003279,1,1,1,45000,,18
003280,1,1,1,,2,2
003281,1,1,1,,1,2
003282,2,2,2,0,,19
003283,1,1,1,0,,16
003284,1,1,1,72000,,18
003285,1,1,1,75000,,17
003286,1,1,1,20000,,18
003287,1,1,1,2800,,18
003288,1,1,1,,,4
003289,1,1,1,44000,,21
003290,6,45,6,0,,16
003291,9,68,20,,1,2
003292,9,68,20,,,
003293,1,1,1,42000,,18
003294,1,1,1,134000,,18
003295,1,1,1,0,,18
003296,1,1,1,,1,1
003297,1,1,1,,,
003298,1,1,1,79900,,21
003299,1,1,1,0,,20
003300,1,1,1,22400,,18
003301,1,1,1,30000,,19
003302,1,1,1,0,,16
003303,1,1,1,0,,19
003304,1,1,1,70000,,16
003305,1,1,1,17000,,16
003306,1,1,1,0,,19
003307,1,1,1,0,,16
003308,1,1,1,0,,21
003309,1,1,1,0,,18
003310,1,1,1,0,,19
003311,1,1,1,20000,,18
003312,1,1,1,,,1
003313,1,1,1,22000,,17
003314,9,68,81,0,,17
003315,9,68,81,,5,5
003316,9,68,81,,3,4
003317,9,68,79,0,,18
003318,1,1,1,0,,19
003319,1,1,1,70000,,20
003320,1,1,1,85000,,21
003321,1,1,1,0,,13
003322,1,1,1,38000,,20
003323,1,1,1,37000,,17
003324,1,1,1,,,
003325,1,1,1,25000,,16
003326,1,1,1,4000,,19
003327,1,1,1,18000,,21
003328,1,1,1,20000,,18
003329,1,1,1,37000,,20
003330,1,1,1,98000,,22
003331,1,1,1,41600,,20
003332,1,1,1,0,,16
003333,1,1,1,35400,,18
003334,8,67,15,28600,,15
003335,8,67,15,,7,8
003336,8,67,15,0,,16
003337,1,1,1,14400,,21
003338,9,68,21,76000,,19
003339,9,68,21,52000,,15
003340,1,1,1,25000,,19
003341,1,1,1,,5,5
003342,1,1,1,,,
003343,1,1,1,38000,,20
003344,1,1,1,84000,,19
003345,1,1,1,,,
003346,1,1,1,1300,,16
003347,1,1,1,20000,,16
003348,1,1,1,0,,16
003349,1,1,1,90000,,19
003350,1,1,1,78000,,22
003351,1,1,1,31000,,21
003352,1,1,1,,11,11
003353,1,1,1,,9,9
003354,1,1,1,,7,7
003355,1,1,1,28400,,19
003356,1,1,1,68800,,21
003357,1,1,1,0,,21
003358,1,1,1,0,,19
003359,1,1,1,100000,,19
003360,1,1,1,0,,18
003361,1,1,1,120000,,19
003362,1,1,1,70000,15,20
003363,1,1,1,65000,,22
003364,1,1,1,,,
003365,1,1,1,58000,,20
003366,1,1,1,0,,20
003367,1,1,1,,5,5
003368,1,1,1,,1,2
003369,1,1,1,60000,,21
003370,1,1,1,46000,,16
003371,1,1,1,46000,,19
003372,1,1,1,,6,7
003373,1,1,1,77000,15,21
003374,1,1,1,,11,11
003375,1,1,1,19200,,21
003376,9,68,25,28800,,16
003377,9,68,16,700,15,16
003378,9,68,25,,2,2
003379,1,1,1,29000,,18
003380,6,50,10,36300,,1
003381,6,57,9,18800,,1
003382,1,1,1,0,,16
003383,1,1,1,52000,,21
003384,1,1,1,,7,8
003385,1,1,1,,5,5
003386,1,1,1,,,
003387,1,1,1,150000,,21
003388,1,1,1,0,,22
003389,1,1,1,2200,,20
003390,1,1,1,0,,19
003391,1,1,1,25000,,20
003392,1,1,1,45500,,21
003393,1,1,1,0,,21
003394,1,1,1,8400,,21
003395,1,1,1,60000,,22
003396,1,1,1,74000,,19
003397,1,1,1,145000,,23
003398,1,1,1,,7,7
003399,1,1,1,,1,1
003400,1,1,1,,,
003401,1,1,1,10000,,17
003402,1,1,1,0,,16
003403,1,1,1,770,15,16
003404,1,1,1,0,,16
003405,1,1,1,0,,9
003406,9,68,17,10000,15,20
003407,1,1,1,0,,21
003408,1,1,1,52000,,21
003409,1,1,1,,8,8
003410,1,1,1,,6,6
003411,1,1,1,,5,5
003412,1,1,1,,,1
003413,1,1,1,,3,3
003414,1,1,1,0,,19
003415,1,1,1,9500,,16
003416,1,1,1,80000,,16
003417,4,31,3,11000,15,18
003418,1,1,1,0,,21
003419,1,1,1,36000,,21
003420,1,1,1,65000,,21
003421,1,1,1,114000,,21
003422,1,1,1,38000,,21
003423,1,1,1,,1,2
003424,1,1,1,,,
003425,1,1,1,67000,,22
003426,1,1,1,36000,16,22
003427,1,1,1,,5,6
003428,1,1,1,,2,3
003429,1,1,1,,1,2
003430,9,68,30,0,,17
003431,1,1,1,0,,20
003432,1,1,1,120000,,19
003433,1,1,1,,5,5
003434,1,1,1,,2,2
003435,1,1,1,,,
003436,1,1,1,42000,,16
003437,1,1,1,0,,19
003438,1,1,1,,9,9
003439,1,1,1,90000,,20
003440,1,1,1,6000,,20
003441,1,1,1,,,
003442,1,1,1,23000,,16
003443,1,1,1,21000,,16
003444,1,1,1,58000,,19
003445,1,1,1,0,,17
003446,1,1,1,50000,,19
003447,1,1,1,20000,,19
003448,1,1,1,0,,21
003449,1,1,1,0,,16
003450,1,1,1,0,,16
003451,1,1,1,52000,,19
003452,1,1,1,0,,16
003453,1,1,1,14300,,17
003454,1,1,1,,6,6
003455,1,1,1,,5,5
003456,1,1,1,100000,,22
003457,1,1,1,52000,,21
003458,1,1,1,,1,2
003459,1,1,1,0,,24
003460,1,1,1,0,,1
003461,1,1,1,50000,,19
003462,1,1,1,0,,18
003463,1,1,1,0,,19
003464,1,1,1,2500,15,19
003465,1,1,1,1500,15,19
003466,1,1,1,12000,,21
003467,1,1,1,383000,,24
003468,1,1,1,,3,3
003469,1,1,1,,2,2
003470,1,1,1,,,
003471,1,1,1,0,,19
003472,1,1,1,23000,,16
003473,3,16,3,30000,,1
003474,3,16,3,,,
003475,3,16,3,25000,,1
003476,1,1,1,100000,,21
003477,1,1,1,40000,,20
003478,7,64,14,0,,16
003479,7,64,14,,,
003480,7,64,14,15500,,15
003481,7,64,14,35000,,16
003482,1,1,1,0,,22
003483,1,1,1,28500,15,19
003484,1,1,1,47300,,22
003485,1,1,1,45000,,20
003486,6,43,5,29960,16,22
003487,1,1,1,0,,17
003488,1,1,1,100000,,21
003489,1,1,1,0,,22
003490,1,1,1,0,,21
003491,1,1,1,27000,,16
003492,1,1,1,100000,,21
003493,1,1,1,3800,,18
003494,1,1,1,,8,9
003495,1,1,1,,6,7
003496,1,1,1,,8,9
003497,1,1,1,220000,,22
003498,1,1,1,18000,,22
003499,1,1,1,3000,14,14
003500,1,1,1,,12,12
003501,1,1,1,80000,,16
003502,1,1,1,90000,,19
003503,1,1,1,4000,,19
003504,1,1,1,0,,20
003505,1,1,1,0,,18
003506,1,1,1,0,,21
003507,1,1,1,0,,16
003508,1,1,1,28000,,17
003509,6,48,7,40000,,16
003510,6,48,7,80000,,18
003511,9,68,17,40500,,16
003512,9,68,17,0,,18
003513,9,68,17,,,
003514,9,68,17,,,
003515,1,1,1,35000,15,18
003516,1,1,1,23300,,16
003517,1,1,1,35000,,16
003518,1,1,1,20000,,19
003519,1,1,1,0,,15
003520,6,49,8,37000,,18
003521,1,1,1,0,,19
003522,1,1,1,150000,,21
003523,1,1,1,0,,16
003524,1,1,1,3000,,16
003525,1,1,1,45000,,19
003526,1,1,1,5200,,18
003527,1,1,1,20000,,20
003528,1,1,1,41000,,20
003529,1,1,1,13200,15,16
003530,1,1,1,65000,,13
003531,1,1,1,6800,15,19
003532,1,1,1,2000,,22
003533,2,2,2,0,,22
003534,1,1,1,42000,,16
003535,1,1,1,64000,,21
003536,1,1,1,35000,,21
003537,1,1,1,0,,16
003538,1,1,1,7000,,16
003539,1,1,1,87000,,20
003540,1,1,1,45000,,1
003541,1,1,1,65000,,20
003542,1,1,1,0,,17
003543,1,1,1,0,,21
003544,6,45,6,0,15,16
003545,1,1,1,3000,,16
003546,1,1,1,88000,,21
003547,1,1,1,96000,,18
003548,1,1,1,600,14,14
003549,1,1,1,,6,6
003550,1,1,1,0,,16
003551,1,1,1,26000,,19
003552,1,1,1,15000,,16
003553,1,1,1,12000,,16
003554,1,1,1,0,15,19
003555,1,1,1,60000,15,19
003556,7,60,11,24000,,16
003557,2,2,2,91000,,19
003558,1,1,1,60000,,16
003559,1,1,1,70000,,17
003560,1,1,1,0,,21
003561,1,1,1,30000,,16
003562,1,1,1,3500,15,17
003563,1,1,1,,6,7
003564,1,1,1,,,1
003565,1,1,1,,,
003566,1,1,1,18000,15,17
003567,1,1,1,18500,,18
003568,1,1,1,,11,12
003569,1,1,1,,9,10
003570,1,1,1,,7,8
003571,1,1,1,45000,,16
003572,1,1,1,40000,,16
003573,1,1,1,13000,,17
003574,1,1,1,65000,,21
003575,1,1,1,220000,,22
003576,1,1,1,,5,5
003577,1,1,1,,5,5
003578,1,1,1,0,,19
003579,1,1,1,0,,18
003580,1,1,1,0,13,13
003581,1,1,1,0,,20
003582,6,51,10,0,,15
003583,6,57,9,9000,,18
003584,1,1,1,9600,,20
003585,1,1,1,50000,,21
003586,6,47,10,99000,,21
003587,6,59,48,0,,21
003588,6,47,10,,4,5
003589,6,47,10,,2,3
003590,6,47,10,,,
003591,1,1,1,0,,19
003592,9,68,60,115000,,21
003593,9,68,60,28700,,15
003594,9,68,60,300,14,14
003595,1,1,1,0,,19
003596,1,1,1,75000,,19
003597,1,1,1,61000,,20
003598,1,1,1,,7,7
003599,1,1,1,,4,4
003600,1,1,1,3000,,22
003601,1,1,1,48000,,22
003602,1,1,1,,,
003603,1,1,1,0,,21
003604,1,1,1,35000,16,21
003605,1,1,1,35000,15,18
003606,1,1,1,15000,,19
003607,1,1,1,,,
003608,1,1,1,0,,20
003609,1,1,1,53000,,19
003610,1,1,1,21000,,19
003611,5,37,3,0,,19
003612,1,1,1,33200,,20
003613,1,1,1,0,,20
003614,1,1,1,0,14,14
003615,1,1,1,,11,11
003616,1,1,1,,7,7
003617,1,1,1,62000,,18
003618,1,1,1,60000,,18
003619,1,1,1,19500,,16
003620,1,1,1,1000,,20
003621,1,1,1,0,,18
003622,1,1,1,0,,21
003623,1,1,1,45000,,19
003624,1,1,1,34000,,16
003625,1,1,1,,,1
003626,6,38,4,0,15,19
003627,6,48,7,0,,22
003628,6,48,7,0,,21
003629,1,1,1,0,,15
003630,1,1,1,0,,16
003631,1,1,1,0,,16
003632,1,1,1,50000,,19
003633,1,1,1,67000,,20
003634,1,1,1,50000,,21
003635,6,49,8,50000,,21
003636,6,49,8,60000,,23
003637,1,1,1,0,,1
003638,1,1,1,0,,1
003639,2,2,2,28900,,21
003640,1,1,1,0,,1
003641,1,1,1,0,,15
003642,1,1,1,0,,17
003643,1,1,1,2900,,18
003644,3,21,3,21000,,22
003645,3,21,3,,9,10
003646,3,21,3,,8,9
003647,6,45,6,118000,,22
003648,6,45,6,90000,,21
003649,6,45,6,0,12,12
003650,6,45,6,,12,12
003651,6,45,6,,10,10
003652,1,1,1,0,,18
003653,1,1,1,62000,,22
003654,1,1,1,40000,,19
003655,1,1,1,,9,9
003656,1,1,1,,4,4
003657,5,37,3,0,,19
003658,5,37,3,89000,,17
003659,5,37,3,,8,9
003660,5,37,3,,,
003661,5,37,3,73000,,19
003662,5,37,3,0,,19
003663,1,1,1,0,,16
003664,1,1,1,60000,,16
003665,1,1,1,8900,,19
003666,7,61,13,0,,16
003667,1,1,1,0,,19
003668,9,68,27,28000,,16
003669,1,1,1,42000,,22
003670,1,1,1,7000,,22
003671,1,1,1,,6,6
003672,1,1,1,,4,4
003673,1,1,1,,1,1
003674,1,1,1,,,
003675,1,1,1,0,,15
003676,1,1,1,150000,,22
003677,1,1,1,140000,,22
003678,1,1,1,,9,9
003679,6,43,5,136000,,24
003680,6,43,5,35000,,24
003681,3,8,3,38000,,19
003682,1,1,1,0,,20
003683,1,1,1,31700,,18
003684,3,21,3,0,,18
003685,3,21,3,,3,3
003686,3,21,3,,,
003687,1,1,1,28000,,19
003688,1,1,1,11000,,19
003689,1,1,1,22000,,19
003690,1,1,1,20000,,22
003691,6,48,7,12000,15,18
003692,1,1,1,250000,,22
003693,1,1,1,0,,21
003694,1,1,1,23000,16,21
003695,1,1,1,60000,,16
003696,1,1,1,0,,18
003697,1,1,1,48000,,16
003698,1,1,1,0,,15
003699,1,1,1,42000,,19
003700,9,68,16,20000,,16
003701,1,1,1,5000,,16
003702,1,1,1,35000,,16
003703,1,1,1,2800,,22
003704,1,1,1,0,,21
003705,2,2,2,29000,,19
003706,1,1,1,65000,,16
003707,1,1,1,0,,16
003708,1,1,1,,6,7
003709,1,1,1,100000,,23
003710,1,1,1,80000,,22
003711,1,1,1,,,
003712,1,1,1,,,
003713,1,1,1,0,,21
003714,1,1,1,467000,,21
003715,1,1,1,,12,12
003716,1,1,1,,9,9
003717,1,1,1,,5,5
003718,1,1,1,0,,16
003719,1,1,1,100000,,16
003720,1,1,1,,,1
003721,1,1,1,,,
003722,6,38,4,93000,,21
003723,1,1,1,35000,,19
003724,1,1,1,90000,,19
003725,1,1,1,24000,,1
003726,1,1,1,0,,16
003727,1,1,1,2500,,16
003728,1,1,1,0,14,17
003729,1,1,1,44500,,20
003730,9,68,22,4800,15,16
003731,1,1,1,,4,5
003732,1,1,1,15000,,16
003733,1,1,1,,2,3
003734,1,1,1,0,,22
003735,1,1,1,37000,,19
003736,1,1,1,73000,,21
003737,1,1,1,72000,,17
003738,1,1,1,0,,18
003739,1,1,1,7700,,19
003740,1,1,1,29600,,19
003741,1,1,1,380,14,14
003742,1,1,1,,,
003743,6,38,4,148000,,22
003744,6,38,4,112000,,22
003745,6,38,4,,1,2
003746,1,1,1,22000,,18
003747,1,1,1,65000,,15
003748,9,68,29,0,,20
003749,1,1,1,3800,,20
003750,1,1,1,48000,,16
003751,1,1,1,0,,13
003752,1,1,1,,,
003753,1,1,1,0,,16
003754,1,1,1,3000,,21
003755,1,1,1,250000,,22
003756,1,1,1,23600,15,20
003757,1,1,1,730,15,20
003758,1,1,1,0,,19
003759,1,1,1,7900,,21
003760,1,1,1,32900,,19
003761,1,1,1,,4,4
003762,1,1,1,0,,22
003763,1,1,1,0,,20
003764,1,1,1,40000,,22
003765,1,1,1,0,,21
003766,1,1,1,0,,19
003767,1,1,1,23000,,16
003768,1,1,1,-600,,24
003769,9,68,29,50000,,19
003770,1,1,1,60000,,19
003771,9,68,29,,,
003772,1,1,1,0,,16
003773,1,1,1,0,,16
003774,1,1,1,0,,16
003775,1,1,1,0,,12
003776,1,1,1,120000,,21
003777,1,1,1,10000,,21
003778,1,1,1,,,
003779,1,1,1,33300,,16
003780,1,1,1,85000,,16
003781,1,1,1,0,,13
003782,1,1,1,52000,,18
003783,9,68,22,40000,,21
003784,1,1,1,50000,,21
003785,1,1,1,40000,,24
003786,1,1,1,5000,,22
003787,1,1,1,,8,8
003788,2,2,2,38000,,19
003789,2,2,2,19000,,17
003790,2,2,2,,3,4
003791,2,2,2,,,
