ID,RAC1P,RAC2P,RAC3P,PERNP,SCHG,SCHL
000219,1,1,1,0,,18
000220,1,1,1,52000,,21
000221,2,2,2,21000,,21
000222,1,1,1,0,,17
000223,1,1,1,0,,16
000224,1,1,1,60000,,20
000225,1,1,1,55000,,20
000226,1,1,1,,6,7
000227,1,1,1,,4,5
000228,1,1,1,39500,,16
000229,1,1,1,20000,,18
000230,1,1,1,0,,18
000231,1,1,1,0,,19
000232,1,1,1,0,,16
000233,1,1,1,0,,11
000234,1,1,1,0,,24
000235,1,1,1,0,,21
000236,1,1,1,25000,,16
000237,1,1,1,66000,,21
000238,1,1,1,0,,16
000239,1,1,1,0,13,13
000240,1,1,1,930,,19
000241,1,1,1,88000,,22
000242,1,1,1,18000,,19
000243,1,1,1,0,,19
000244,1,1,1,1800,15,18
000245,1,1,1,0,,21
000246,1,1,1,80000,,19
000247,1,1,1,179000,,22
000248,6,45,6,3000,,21
000249,9,68,20,,9,9
000250,9,68,20,,5,5
000251,9,68,20,,3,3
000252,9,68,20,,1,1
000253,1,1,1,77000,15,22
000254,6,43,5,68000,,21
000255,9,68,19,,4,4
000256,1,1,1,48000,,16
000257,8,67,15,30000,,16
000258,8,67,15,,5,5
000259,8,67,15,18000,,9
000260,8,67,15,10000,,16
000261,1,1,1,40000,,18
000262,1,1,1,0,,16
000263,1,1,1,0,,23
000264,1,1,1,0,,21
000265,2,2,2,50000,,19
000266,1,1,1,0,,17
000267,1,1,1,0,,16
000268,1,1,1,0,,19
000269,1,1,1,48000,,21
000270,6,45,6,30000,,16
000271,9,68,20,,,6
000272,1,1,1,,,7
000273,1,1,1,,,7
000274,1,1,1,55000,,16
000275,1,1,1,24000,,16
000276,1,1,1,13000,,19
000277,1,1,1,0,,16
000278,1,1,1,2400,,12
000279,1,1,1,51000,,16
000280,1,1,1,150000,,18
000281,1,1,1,500,15,18
000282,9,68,88,50000,,19
000283,6,45,6,12000,,18
000284,9,68,88,,,
000285,6,45,6,0,,19
000286,1,1,1,120000,,22
000287,1,1,1,85000,,21
000288,1,1,1,86000,,21
000289,1,1,1,43000,,20
000290,6,43,5,0,,20
000291,1,1,1,127000,,21
000292,1,1,1,80000,,19
000293,1,1,1,0,,19
000294,1,1,1,0,,21
000295,1,1,1,0,,16
000296,1,1,1,10000,,21
000297,1,1,1,60000,,16
000298,1,1,1,,10,11
000299,1,1,1,,,1
000300,1,1,1,0,,1
000301,1,1,1,16000,,19
000302,1,1,1,55000,,19
000303,1,1,1,,10,10
000304,1,1,1,,9,9
000305,1,1,1,,6,7
000306,1,1,1,,8,9
000307,1,1,1,,4,4
000308,1,1,1,,,1
000309,8,67,15,65000,,18
000310,8,67,15,65000,16,21
000311,1,1,1,20000,,22
000312,1,1,1,23400,,16
000313,1,1,1,39000,,16
